date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:07	29952/29952	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:42:07%20GMT	https://rkwaterproofingcom.in/about.php	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/about.html	(from https://rkwaterproofingcom.in/index.php)
20:12:08	56533/56533	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:42:07%20GMT	https://rkwaterproofingcom.in/services.php	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/services.html	(from https://rkwaterproofingcom.in/index.php)
20:12:08	34956/34956	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:42:08%20GMT	https://rkwaterproofingcom.in/work.php	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/work.html	(from https://rkwaterproofingcom.in/index.php)
20:12:08	40587/40587	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:42:08%20GMT	https://rkwaterproofingcom.in/gallery.php	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/gallery.html	(from https://rkwaterproofingcom.in/index.php)
20:12:08	23817/23817	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2014:42:08%20GMT	https://rkwaterproofingcom.in/contact.php	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/contact.html	(from https://rkwaterproofingcom.in/index.php)
20:12:09	133698/133698	---M--	200	added ('OK')	image/png	etag:%2220a42-5f6c557591780%22	https://rkwaterproofingcom.in/assets/images/resources/main-slider-2-1.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/main-slider-2-1.png	(from https://rkwaterproofingcom.in/index.php)
20:12:09	32054/32054	---M--	200	added ('OK')	image/png	etag:%227d36-5f5834a529400%22	https://rkwaterproofingcom.in/assets/images/shapes/warranty.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/shapes/warranty.png	(from https://rkwaterproofingcom.in/index.php)
20:12:10	234279/234279	---M--	200	added ('OK')	image/png	etag:%2239327-5f58301d7e400%22	https://rkwaterproofingcom.in/assets/images/shapes/main-slider-two-shape-1.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/shapes/main-slider-two-shape-1.png	(from https://rkwaterproofingcom.in/index.php)
20:12:10	367163/367163	---M--	200	added ('OK')	image/png	etag:%2259a3b-5f6c557591780%22	https://rkwaterproofingcom.in/assets/images/resources/main-slider-2-2.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/main-slider-2-2.png	(from https://rkwaterproofingcom.in/index.php)
20:12:10	247184/247184	---M--	200	added ('OK')	image/png	etag:%223c590-5f6c557591780%22	https://rkwaterproofingcom.in/assets/images/resources/main-slider-2-4.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/main-slider-2-4.png	(from https://rkwaterproofingcom.in/index.php)
20:12:11	263940/263940	---M--	200	added ('OK')	image/png	etag:%2240704-5f6c557591780%22	https://rkwaterproofingcom.in/assets/images/resources/main-slider-2-3.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/main-slider-2-3.png	(from https://rkwaterproofingcom.in/index.php)
20:12:11	403700/403700	---M--	200	added ('OK')	image/png	etag:%22628f4-5f6c557591780%22	https://rkwaterproofingcom.in/assets/images/resources/main-slider-2-5.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/main-slider-2-5.png	(from https://rkwaterproofingcom.in/index.php)
20:12:11	278876/278876	---M--	200	added ('OK')	image/png	etag:%224415c-5f6c557591780%22	https://rkwaterproofingcom.in/assets/images/resources/main-slider-2-6.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/main-slider-2-6.png	(from https://rkwaterproofingcom.in/index.php)
20:12:11	178504/178504	---M--	200	added ('OK')	image/jpeg	etag:%222b948-5f5aa70f67a00%22	https://rkwaterproofingcom.in/assets/images/waterproofing-protections.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/waterproofing-protections.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:11	182771/182771	---M--	200	added ('OK')	image/jpeg	etag:%222c9f3-5f6859a568d00%22	https://rkwaterproofingcom.in/assets/images/services/liquid-membrane/liq1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/services/liquid-membrane/liq1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:11	200479/200479	---M--	200	added ('OK')	image/jpeg	etag:%2230f1f-5f79e70910940%22	https://rkwaterproofingcom.in/assets/images/services/app1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/services/app1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:12	148831/148831	---M--	200	added ('OK')	image/jpeg	etag:%222455f-5f5acb4706c80%22	https://rkwaterproofingcom.in/assets/images/services/cementatious-coating/cement3.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/services/cementatious-coating/cement3.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:12	146539/146539	---M--	200	added ('OK')	image/jpeg	etag:%2223c6b-5f5acbd613e00%22	https://rkwaterproofingcom.in/assets/images/services/protective/protective1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/services/protective/protective1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:12	160327/160327	---M--	200	added ('OK')	image/jpeg	etag:%2227247-5f55d23dcf480%22	https://rkwaterproofingcom.in/assets/images/services/decorative/dec2.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/services/decorative/dec2.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:12	146162/146162	---M--	200	added ('OK')	image/jpeg	etag:%2223af2-5f583b1704880%22	https://rkwaterproofingcom.in/assets/images/services/expansion-joints/exj3.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/services/expansion-joints/exj3.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:13	383701/383701	---M--	200	added ('OK')	image/jpeg	etag:%225dad5-5f5a9ef435a00%22	https://rkwaterproofingcom.in/assets/images/work/terracewater.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/terracewater.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:13	382927/382927	---M--	200	added ('OK')	image/jpeg	etag:%225d7cf-5f5aa8d372480%22	https://rkwaterproofingcom.in/assets/images/work/basement1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/basement1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:13	443539/443539	---M--	200	added ('OK')	image/jpeg	etag:%226c493-5f5a9e783b580%22	https://rkwaterproofingcom.in/assets/images/work/garden.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/garden.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:13	290712/290712	---M--	200	added ('OK')	image/jpeg	etag:%2246f98-5f5aaf9ef2c80%22	https://rkwaterproofingcom.in/assets/images/work/sunken.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/sunken.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:13	308260/308260	---M--	200	added ('OK')	image/jpeg	etag:%224b424-5f5aa9a911c80%22	https://rkwaterproofingcom.in/assets/images/work/watertank.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/watertank.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:14	441516/441516	---M--	200	added ('OK')	image/jpeg	etag:%226bcac-5f5aa0794f000%22	https://rkwaterproofingcom.in/assets/images/work/pool1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/pool1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:14	325327/325327	---M--	200	added ('OK')	image/jpeg	etag:%224f6cf-5f95aa2b99f00%22	https://rkwaterproofingcom.in/assets/images/work/liq1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/liq1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:14	1423/1423	---M--	200	added ('OK')	image/png	etag:%2258f-5f558a05e1200%22	https://rkwaterproofingcom.in/assets/images/icon/icon-zoom-1.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/icon/icon-zoom-1.png	(from https://rkwaterproofingcom.in/index.php)
20:12:14	205851/205851	---M--	200	added ('OK')	image/jpeg	etag:%223241b-5f95aa2aa5cc0%22	https://rkwaterproofingcom.in/assets/images/work/tr1.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/tr1.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:14	242514/242514	---M--	200	added ('OK')	image/jpeg	etag:%223b352-5f95aa2b99f00%22	https://rkwaterproofingcom.in/assets/images/work/tr6.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/tr6.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:15	302125/302125	---M--	200	added ('OK')	image/jpeg	etag:%2249c2d-5f95aa2b99f00%22	https://rkwaterproofingcom.in/assets/images/work/tr7.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/tr7.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:15	170327/170327	---M--	200	added ('OK')	image/jpeg	etag:%2229957-5f95aa2aa5cc0%22	https://rkwaterproofingcom.in/assets/images/work/tr2.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/tr2.jpg	(from https://rkwaterproofingcom.in/index.php)
20:12:15	252845/252845	---M--	200	added ('OK')	image/jpeg	etag:%223dbad-5f95aa2b99f00%22	https://rkwaterproofingcom.in/assets/images/work/tr20.jpg	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/work/tr20.jpg	(from https://rkwaterproofingcom.in/index.php)
